SYMBOL,INTERVAL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
HDFC.NS,D,2005-12-06,222.80000299999998,230.000003,219.250003,225.23000299999998,940579.985984
HDFC.NS,D,2005-12-07,224.000003,225.380003,222.62000299999997,224.160003,1716029.9744290002
HDFC.NS,D,2005-12-08,224.20000299999998,228.000003,218.600003,220.56000299999997,1992184.970314
HDFC.NS,D,2005-12-09,221.40000299999997,224.39000299999998,221.20000299999998,222.20000299999998,1321559.980307
HDFC.NS,D,2005-12-12,224.40000299999997,228.20000299999998,223.500003,225.58000299999998,1484054.977886
HDFC.NS,D,2005-12-13,227.780003,235.200004,222.20000299999998,234.27000299999997,3875424.942252
HDFC.NS,D,2005-12-14,236.400004,240.000004,230.07000299999999,238.320004,3223824.951961
HDFC.NS,D,2005-12-15,238.400004,240.94000400000002,234.42000299999998,239.080004,3006614.955198
HDFC.NS,D,2005-12-16,237.600004,251.550004,235.050004,246.430004,5786029.913780999
HDFC.NS,D,2005-12-19,244.000004,252.400004,234.20000299999998,248.260004,3124674.953439
HDFC.NS,D,2005-12-20,248.600004,250.19000400000002,247.280004,248.300004,4307944.935807
HDFC.NS,D,2005-12-21,250.000004,255.600004,248.460004,253.700004,4315159.935699
HDFC.NS,D,2005-12-22,253.600004,261.990004,250.030004,258.070004,7223824.892357001
HDFC.NS,D,2005-12-23,258.000004,258.000004,238.500004,240.66000400000001,4413224.934238
HDFC.NS,D,2005-12-26,249.000004,250.000004,232.000003,234.900004,2066609.969205
HDFC.NS,D,2005-12-27,234.900004,237.800004,232.000003,233.81000299999997,2817194.958021
HDFC.NS,D,2005-12-28,234.20000299999998,242.390004,232.410003,237.780004,2563999.961793
HDFC.NS,D,2005-12-29,239.990004,247.000004,239.800004,243.700004,2854999.957457
HDFC.NS,D,2005-12-30,243.600004,243.600004,237.810004,241.400004,934649.986073
HDFC.NS,D,2006-01-02,239.000004,247.980004,236.070004,238.260004,835434.987551
HDFC.NS,D,2006-01-03,238.800004,246.980004,238.800004,246.000004,2167324.967704
HDFC.NS,D,2006-01-04,247.800004,249.700004,243.000004,248.260004,2077019.96905
HDFC.NS,D,2006-01-05,247.990004,249.19000400000002,245.240004,248.150004,1839074.972596
HDFC.NS,D,2006-01-06,240.200004,255.920004,240.200004,253.500004,3240369.951715
HDFC.NS,D,2006-01-09,252.000004,256.390004,250.44000400000002,254.91000400000001,2617704.960993
HDFC.NS,D,2006-01-10,252.200004,253.800004,243.250004,244.990004,1467609.978131
HDFC.NS,D,2006-01-12,248.44000400000002,248.44000400000002,236.010004,239.990004,3491104.9479779997
HDFC.NS,D,2006-01-13,243.740004,246.000004,233.80000299999998,236.150004,2699199.959779
HDFC.NS,D,2006-01-16,239.000004,239.000004,233.20000299999998,234.37000299999997,1590294.976303
HDFC.NS,D,2006-01-17,235.800004,238.000004,230.20000299999998,231.56000299999997,2463959.963284
HDFC.NS,D,2006-01-18,232.000003,233.000003,224.600003,229.61000299999998,2548549.962024
HDFC.NS,D,2006-01-19,230.000003,238.200004,230.000003,236.310004,1121319.983291
HDFC.NS,D,2006-01-20,239.600004,251.22000400000002,238.72000400000002,250.100004,41272934.384985
HDFC.NS,D,2006-01-23,250.400004,250.400004,241.430004,242.300004,1928499.971263
HDFC.NS,D,2006-01-24,248.000004,249.400004,244.000004,247.480004,1158119.9827430001
HDFC.NS,D,2006-01-25,250.000004,257.320004,247.420004,256.150004,2935049.956264
HDFC.NS,D,2006-01-27,256.400004,261.600004,252.600004,260.490004,1891579.971813
HDFC.NS,D,2006-01-30,260.400004,268.000004,260.000004,263.630004,1643664.975507
HDFC.NS,D,2006-01-31,263.060004,269.200004,261.430004,267.940004,1915809.971452
HDFC.NS,D,2006-02-01,269.000004,283.940004,269.000004,277.560004,3467989.948323
HDFC.NS,D,2006-02-02,278.600004,278.600004,270.400004,271.740004,1146814.982911
HDFC.NS,D,2006-02-03,271.000004,271.000004,259.27000400000003,260.780004,1600159.976156
HDFC.NS,D,2006-02-06,261.000004,276.000004,256.220004,267.52000400000003,3969204.940854
HDFC.NS,D,2006-02-07,265.000004,274.000004,264.000004,268.750004,3133994.9533
HDFC.NS,D,2006-02-08,266.400004,270.500004,261.590004,268.310004,3075794.954167
HDFC.NS,D,2006-02-10,269.000004,275.200004,267.600004,272.710004,2966279.9557990003
HDFC.NS,D,2006-02-13,272.700004,275.000004,269.070004,272.600004,1185264.9823379999
HDFC.NS,D,2006-02-14,274.400004,275.58000400000003,271.210004,274.120004,2174799.967593
HDFC.NS,D,2006-02-15,277.000004,277.000004,264.480004,267.600004,2289664.9658810003
HDFC.NS,D,2006-02-16,272.600004,272.800004,265.820004,268.070004,2035579.9696669998
HDFC.NS,D,2006-02-17,271.800004,271.800004,259.200004,260.030004,6679379.900469
HDFC.NS,D,2006-02-20,260.800004,265.800004,257.000004,263.650004,777669.988412
HDFC.NS,D,2006-02-21,265.000004,269.000004,264.200004,266.430004,927804.986175
HDFC.NS,D,2006-02-22,266.800004,278.000004,266.600004,275.420004,4237764.936852
HDFC.NS,D,2006-02-23,278.000004,282.000004,273.200004,275.58000400000003,3275254.951195
HDFC.NS,D,2006-02-24,276.880004,276.880004,272.02000400000003,272.980004,455434.993213
HDFC.NS,D,2006-02-27,272.980004,278.800004,272.980004,276.990004,1172324.982531
HDFC.NS,D,2006-02-28,277.980004,279.980004,271.200004,273.130004,1816069.972938
HDFC.NS,D,2006-03-01,263.000004,278.390004,263.000004,270.960004,1827269.9727720001
HDFC.NS,D,2006-03-02,270.960004,273.400004,268.260004,271.050004,2894799.956864
HDFC.NS,D,2006-03-03,270.400004,271.590004,262.210004,263.390004,1400434.979132
HDFC.NS,D,2006-03-06,264.000004,268.000004,263.660004,267.100004,1401684.979113
HDFC.NS,D,2006-03-07,266.800004,271.790004,265.480004,268.420004,3904624.941817
HDFC.NS,D,2006-03-08,269.990004,269.990004,257.000004,259.300004,2566479.9617560003
HDFC.NS,D,2006-03-09,259.400004,261.000004,252.000004,255.760004,1938884.9711080003
HDFC.NS,D,2006-03-10,256.800004,266.000004,256.800004,265.390004,1222969.981776
HDFC.NS,D,2006-03-13,267.960004,267.960004,259.070004,261.02000400000003,550039.991804
HDFC.NS,D,2006-03-14,263.700004,278.200004,260.060004,264.130004,1031149.984635
HDFC.NS,D,2006-03-16,270.600004,270.600004,265.000004,269.890004,3450869.948578
HDFC.NS,D,2006-03-17,270.000004,270.560004,264.02000400000003,267.610004,774309.988462
HDFC.NS,D,2006-03-20,268.600004,269.000004,264.600004,267.740004,645239.990385
HDFC.NS,D,2006-03-21,271.600004,271.600004,260.220004,262.030004,2315844.965491
HDFC.NS,D,2006-03-22,262.400004,266.600004,261.060004,263.730004,1523514.977298
HDFC.NS,D,2006-03-23,264.000004,265.800004,262.450004,263.77000400000003,1161674.98269
HDFC.NS,D,2006-03-24,266.980004,267.000004,261.640004,262.850004,1853764.9723770001
HDFC.NS,D,2006-03-27,263.200004,264.800004,262.620004,263.070004,5624049.916195
HDFC.NS,D,2006-03-28,264.000004,270.000004,262.510004,267.800004,2995844.955358
HDFC.NS,D,2006-03-29,268.900004,268.900004,264.200004,267.490004,690934.989704
HDFC.NS,D,2006-03-30,269.980004,274.450004,267.490004,271.680004,2752184.958989
HDFC.NS,D,2006-03-31,271.180004,276.000004,265.600004,267.360004,1468874.978112
HDFC.NS,D,2006-04-03,269.800004,271.010004,263.600004,268.000004,1653919.975355
HDFC.NS,D,2006-04-04,265.02000400000003,275.800004,265.02000400000003,269.620004,2144109.96805
HDFC.NS,D,2006-04-05,270.800004,272.940004,267.900004,270.340004,1491369.977777
HDFC.NS,D,2006-04-07,270.000004,271.000004,263.000004,267.160004,2073489.969103
HDFC.NS,D,2006-04-10,270.000004,270.000004,263.000004,265.910004,1363769.979678
HDFC.NS,D,2006-04-12,264.000004,265.000004,255.100004,257.27000400000003,1618529.975882
HDFC.NS,D,2006-04-13,258.200004,258.200004,249.000004,251.600004,2470739.963183
HDFC.NS,D,2006-04-17,254.800004,259.400004,245.000004,254.72000400000002,2415249.9640099998
HDFC.NS,D,2006-04-18,255.000004,258.390004,251.790004,256.430004,1406169.979046
HDFC.NS,D,2006-04-19,260.000004,264.570004,258.200004,259.810004,1751354.973903
HDFC.NS,D,2006-04-20,248.520004,260.940004,248.520004,255.090004,1860404.9722779999
HDFC.NS,D,2006-04-21,254.41000400000001,258.400004,253.000004,254.530004,4015954.940158
HDFC.NS,D,2006-04-24,251.000004,257.490004,251.000004,252.310004,3729994.9444190003
HDFC.NS,D,2006-04-25,251.800004,253.590004,248.600004,250.91000400000001,2262924.96628
HDFC.NS,D,2006-04-26,256.400004,260.600004,249.200004,259.290004,4120399.9386010002
HDFC.NS,D,2006-04-27,259.290004,265.200004,258.200004,259.290004,3564644.946883
HDFC.NS,D,2006-04-28,250.44000400000002,261.800004,241.040004,259.930004,3857274.942522
HDFC.NS,D,2006-04-29,255.020004,264.000004,255.020004,262.350004,132089.998032
HDFC.NS,D,2006-05-02,267.000004,269.600004,257.320004,261.600004,3395844.949398
HDFC.NS,D,2006-05-03,265.400004,265.400004,254.400004,259.650004,2828659.95785
HDFC.NS,D,2006-05-04,260.000004,264.000004,250.510004,258.660004,4381454.934711
HDFC.NS,D,2006-05-05,258.800004,260.000004,257.000004,257.430004,1865239.9722060002
HDFC.NS,D,2006-05-08,265.400004,271.010004,256.030004,268.190004,2633684.960755
HDFC.NS,D,2006-05-09,269.000004,274.400004,266.200004,271.000004,3332519.950342
HDFC.NS,D,2006-05-10,273.960004,274.400004,267.990004,272.560004,2701224.959749
HDFC.NS,D,2006-05-11,274.000004,279.600004,270.000004,278.140004,1774759.973554
HDFC.NS,D,2006-05-12,274.800004,277.400004,271.010004,276.150004,1263409.981174
HDFC.NS,D,2006-05-15,267.000004,284.040004,267.000004,270.710004,3512004.947667
HDFC.NS,D,2006-05-16,266.600004,271.360004,259.000004,268.670004,877899.986918
HDFC.NS,D,2006-05-17,272.000004,274.800004,266.200004,270.870004,2657989.960393
HDFC.NS,D,2006-05-18,266.200004,270.000004,255.800004,258.460004,3340594.950221
HDFC.NS,D,2006-05-19,272.000004,272.000004,247.000004,251.060004,2527309.96234
HDFC.NS,D,2006-05-22,242.200004,251.980004,236.200004,242.070004,2185804.967429
HDFC.NS,D,2006-05-23,240.200004,255.980004,234.000003,249.310004,3186784.952513
HDFC.NS,D,2006-05-24,244.600004,247.600004,224.31000299999997,234.930004,4706739.929864
HDFC.NS,D,2006-05-25,228.000003,239.560004,225.80000299999998,230.660003,5621734.916230001
HDFC.NS,D,2006-05-26,231.54000299999998,245.000004,230.40000299999997,235.200004,1616764.975908
HDFC.NS,D,2006-05-29,236.000004,245.790004,235.300004,240.680004,2692409.95988
HDFC.NS,D,2006-05-30,242.000004,244.800004,233.64000299999998,235.820004,1862179.9722509999
HDFC.NS,D,2006-05-31,235.170004,235.200004,215.000003,224.71000299999997,2919034.956503
HDFC.NS,D,2006-06-01,230.000003,238.000004,219.000003,221.030003,2126454.968313
HDFC.NS,D,2006-06-02,220.000003,238.010004,218.250003,235.700004,4467364.9334309995
HDFC.NS,D,2006-06-05,238.000004,247.000004,235.310004,239.800004,4029044.939963
HDFC.NS,D,2006-06-06,234.000003,239.400004,230.40000299999997,232.690003,2272634.966135
HDFC.NS,D,2006-06-07,222.31000299999997,239.000004,222.31000299999997,232.17000299999998,7295159.891294001
HDFC.NS,D,2006-06-08,229.79000299999998,231.000003,215.20000299999998,221.93000299999997,5057579.924636
HDFC.NS,D,2006-06-09,221.82000299999999,243.44000400000002,221.80000299999998,241.550004,2641789.960634
HDFC.NS,D,2006-06-12,239.840004,240.000004,220.000003,223.46000299999997,2773629.95867
HDFC.NS,D,2006-06-13,219.96000299999997,223.96000299999997,201.000003,203.340003,3907929.9417669997
HDFC.NS,D,2006-06-14,210.000003,212.000003,192.400003,199.610003,4420674.934126999
HDFC.NS,D,2006-06-15,208.000003,216.40000299999997,198.000003,211.95000299999998,2536019.96221
HDFC.NS,D,2006-06-16,222.000003,223.40000299999997,206.000003,208.890003,3455544.948508
HDFC.NS,D,2006-06-19,209.000003,212.940003,203.900003,210.630003,904829.986517
HDFC.NS,D,2006-06-20,206.200003,209.000003,199.60000300000002,202.790003,2353369.964932
HDFC.NS,D,2006-06-21,202.800003,205.60000300000002,199.620003,204.060003,2990074.9554439997
HDFC.NS,D,2006-06-22,217.40000299999997,228.80000299999998,208.000003,224.74000299999997,1780184.9734729999
HDFC.NS,D,2006-06-23,221.000003,225.000003,212.220003,221.09000299999997,1453109.978347
HDFC.NS,D,2006-06-25,220.000003,228.000003,218.42000299999998,220.600003,41224.999386
HDFC.NS,D,2006-06-26,215.000003,224.68000299999997,206.220003,208.640003,2272219.966141
HDFC.NS,D,2006-06-27,210.000003,220.000003,209.550003,217.81000299999997,1938229.971118
HDFC.NS,D,2006-06-28,216.65000299999997,216.65000299999997,206.200003,210.37000299999997,1163659.98266
HDFC.NS,D,2006-06-29,214.80000299999998,219.100003,212.06000299999997,217.49000299999997,3546684.94715
HDFC.NS,D,2006-06-30,219.600003,230.000003,214.40000299999997,227.96000299999997,1281669.980902
HDFC.NS,D,2006-07-03,226.000003,228.01000299999998,219.07000299999999,226.31000299999997,1421299.9788209999
HDFC.NS,D,2006-07-04,225.000003,234.000003,225.000003,232.11000299999998,1262174.981192
HDFC.NS,D,2006-07-05,228.000003,246.000004,228.000003,242.990004,2359774.964837
HDFC.NS,D,2006-07-06,238.800004,246.800004,235.400004,244.22000400000002,2513619.962544
HDFC.NS,D,2006-07-07,244.22000400000002,249.800004,230.000003,233.30000299999998,1493419.9777459998
HDFC.NS,D,2006-07-10,225.000003,241.800004,225.000003,239.770004,807589.987966
HDFC.NS,D,2006-07-11,240.000004,242.000004,234.20000299999998,239.920004,1151624.982839
HDFC.NS,D,2006-07-12,235.000004,243.000004,230.04000299999998,240.830004,2316004.965489
HDFC.NS,D,2006-07-13,236.400004,239.560004,230.40000299999997,232.970003,1484644.977877
HDFC.NS,D,2006-07-14,230.20000299999998,231.99000299999997,225.40000299999997,228.64000299999998,1454574.978325
HDFC.NS,D,2006-07-17,226.000003,226.000003,214.20000299999998,216.26000299999998,2003959.9701389999
HDFC.NS,D,2006-07-18,220.80000299999998,221.40000299999997,210.000003,212.83000299999998,2777089.958618
HDFC.NS,D,2006-07-19,216.000003,223.100003,208.200003,212.65000299999997,989749.985252
HDFC.NS,D,2006-07-20,218.600003,220.80000299999998,214.000003,216.05000299999998,1457254.978285
HDFC.NS,D,2006-07-21,217.000003,217.000003,213.01000299999998,214.27000299999997,588334.991233
HDFC.NS,D,2006-07-24,213.90000299999997,217.20000299999998,210.000003,215.48000299999998,1646669.975463
HDFC.NS,D,2006-07-25,219.80000299999998,223.190003,217.18000299999997,219.43000299999997,2159144.967826
HDFC.NS,D,2006-07-26,219.40000299999997,228.58000299999998,217.100003,227.030003,1056069.9842629998
HDFC.NS,D,2006-07-27,225.600003,242.600004,225.600003,238.260004,2794019.958366
HDFC.NS,D,2006-07-28,238.380004,238.380004,230.62000299999997,237.050004,1988159.9703740003
HDFC.NS,D,2006-07-31,239.000004,239.200004,232.000003,235.480004,942474.9859559999
HDFC.NS,D,2006-08-01,234.68000299999997,240.000004,232.04000299999998,238.830004,1192464.982231
HDFC.NS,D,2006-08-02,234.000003,241.600004,234.000003,238.320004,543574.9919
HDFC.NS,D,2006-08-03,241.600004,248.400004,237.400004,245.070004,2593654.961352
HDFC.NS,D,2006-08-04,245.000004,252.650004,245.000004,248.420004,2197429.9672560003
HDFC.NS,D,2006-08-07,247.800004,248.880004,243.500004,247.060004,1976039.970555
HDFC.NS,D,2006-08-08,249.990004,252.980004,247.420004,249.210004,971884.9855180001
HDFC.NS,D,2006-08-09,247.800004,254.19000400000002,247.700004,248.030004,1242039.981492
HDFC.NS,D,2006-08-10,249.200004,255.800004,248.010004,254.810004,1281114.98091
HDFC.NS,D,2006-08-11,255.200004,256.980004,252.200004,253.490004,715584.989337
HDFC.NS,D,2006-08-14,256.800004,263.000004,252.620004,260.33000400000003,986889.985294
HDFC.NS,D,2006-08-16,261.000004,264.000004,256.010004,257.140004,836954.987528
HDFC.NS,D,2006-08-17,258.000004,261.58000400000003,257.810004,258.900004,979769.9854
HDFC.NS,D,2006-08-18,258.800004,261.960004,251.000004,261.210004,925094.9862149999
HDFC.NS,D,2006-08-21,256.000004,259.940004,254.020004,258.260004,898539.986611
HDFC.NS,D,2006-08-22,259.000004,266.900004,257.120004,264.870004,1547244.976944
HDFC.NS,D,2006-08-23,262.000004,263.000004,254.280004,255.680004,944354.9859280001
HDFC.NS,D,2006-08-24,255.540004,257.390004,248.200004,255.520004,932919.986098
HDFC.NS,D,2006-08-25,257.000004,259.300004,253.260004,255.630004,1067879.9840870001
HDFC.NS,D,2006-08-28,254.600004,255.800004,248.310004,252.500004,679549.989874
HDFC.NS,D,2006-08-29,255.800004,259.000004,253.700004,258.140004,763799.9886180001
HDFC.NS,D,2006-08-30,258.980004,262.800004,256.620004,260.140004,1242664.981483
HDFC.NS,D,2006-08-31,261.000004,265.52000400000003,257.420004,262.030004,3422229.949005
HDFC.NS,D,2006-09-01,261.200004,264.950004,258.070004,264.000004,1072224.9840229999
HDFC.NS,D,2006-09-04,263.000004,266.010004,262.990004,263.930004,1150464.982857
HDFC.NS,D,2006-09-05,265.000004,266.000004,261.400004,264.910004,1142069.9829819999
HDFC.NS,D,2006-09-06,266.000004,266.000004,261.800004,263.280004,1153449.982812
HDFC.NS,D,2006-09-07,263.640004,273.600004,259.400004,271.040004,2462684.9633029997
HDFC.NS,D,2006-09-08,271.400004,274.000004,266.010004,267.800004,766439.988579
HDFC.NS,D,2006-09-11,268.000004,269.600004,262.400004,267.140004,1056774.984253
HDFC.NS,D,2006-09-12,266.000004,266.940004,264.460004,265.960004,901949.98656
HDFC.NS,D,2006-09-13,266.000004,271.980004,265.990004,270.600004,1420184.978838
HDFC.NS,D,2006-09-14,271.400004,271.990004,265.600004,267.060004,1714979.974445
HDFC.NS,D,2006-09-15,269.400004,269.400004,264.010004,266.610004,1067439.984094
HDFC.NS,D,2006-09-18,266.000004,277.000004,262.420004,275.380004,1449009.978408
HDFC.NS,D,2006-09-19,275.000004,276.600004,268.400004,269.620004,905324.9865100001
HDFC.NS,D,2006-09-20,269.000004,277.000004,265.200004,274.780004,1153404.982813
HDFC.NS,D,2006-09-21,278.000004,283.200004,274.430004,281.170004,1677514.975003
HDFC.NS,D,2006-09-22,280.800004,287.950004,277.200004,281.760004,1314084.9804190001
HDFC.NS,D,2006-09-25,281.760004,284.400004,278.210004,279.420004,1084784.983835
HDFC.NS,D,2006-09-26,276.000004,285.000004,275.600004,283.700004,2260974.966309
